Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
,,,115,-35,0,top
,,,115,-115,0,top
,,,170,-115,0,top
,,,170,-35,0,top
C24,1p,C_0402_1005Metric,125.5238,-61.0462,180,top
C25,100p,C_0402_1005Metric,126.009,-62.5702,-90,top
C26,1p,C_0402_1005Metric,158.5238,-61.0462,180,top
C27,120p,C_0402_1005Metric,131.089,-64.3762,90,top
C28,100p,C_0402_1005Metric,130.9366,-69.7076,0,top
C29,470p,C_0402_1005Metric,128.9808,-66.3294,0,top
C30,100p,C_0402_1005Metric,159.009,-62.5702,-90,top
C31,120p,C_0402_1005Metric,164.089,-64.3762,90,top
C32,100p,C_0402_1005Metric,163.9366,-69.7076,0,top
C33,470p,C_0402_1005Metric,161.9808,-66.3294,0,top
C34,1p,C_0402_1005Metric,125.5238,-94.0462,180,top
C35,100p,C_0402_1005Metric,126.009,-95.5702,-90,top
C36,120p,C_0402_1005Metric,131.089,-97.3762,90,top
C37,100p,C_0402_1005Metric,130.9366,-102.7076,0,top
C38,470p,C_0402_1005Metric,128.9808,-99.3294,0,top
C39,1p,C_0402_1005Metric,158.5238,-94.0462,180,top
C40,100p,C_0402_1005Metric,159.009,-95.5702,-90,top
C41,120p,C_0402_1005Metric,164.089,-97.3762,90,top
C42,100p,C_0402_1005Metric,163.9366,-102.7076,0,top
C43,470p,C_0402_1005Metric,161.9808,-99.3294,0,top
FL1,SAFEA1G58KA0F00R15,SAFEA1G58KA0F00R15,131.3878,-66.8374,90,top
FL2,SAFEA1G58KA0F00R15,SAFEA1G58KA0F00R15,164.3878,-66.8374,90,top
FL3,SAFEA1G58KA0F00R15,SAFEA1G58KA0F00R15,131.3878,-99.8374,90,top
FL4,SAFEA1G58KA0F00R15,SAFEA1G58KA0F00R15,164.3878,-99.8374,90,top
IC4,TESEO-LIV3F,SON110P970X1010X230-18N,134.391,-57.795,-90,top
IC6,MAX2641EUT+T,SOT95P280X145-6N,127.2536,-68.7424,0,top
IC7,TESEO-LIV3F,SON110P970X1010X230-18N,167.391,-57.795,-90,top
IC9,MAX2641EUT+T,SOT95P280X145-6N,160.2536,-68.7424,0,top
IC10,TESEO-LIV3F,SON110P970X1010X230-18N,134.391,-90.795,-90,top
IC12,MAX2641EUT+T,SOT95P280X145-6N,127.2536,-101.7424,0,top
IC13,TESEO-LIV3F,SON110P970X1010X230-18N,167.391,-90.795,-90,top
IC15,MAX2641EUT+T,SOT95P280X145-6N,160.2536,-101.7424,0,top
J8,Conn_01x02_Female,PinHeader_1x02_P2.00mm_Vertical,137.6676,-64.9578,-90,top
J9,Conn_01x05_Female,PinHeader_1x05_P2.00mm_Vertical,131.62,-50.45,90,top
J10,Conn_01x02_Female,PinHeader_1x02_P2.00mm_Vertical,170.6676,-64.9578,-90,top
J11,Conn_01x05_Female,PinHeader_1x05_P2.00mm_Vertical,164.62,-50.45,90,top
J12,Conn_01x02_Female,PinHeader_1x02_P2.00mm_Vertical,137.6676,-97.9578,-90,top
J13,Conn_01x05_Female,PinHeader_1x05_P2.00mm_Vertical,131.62,-83.45,90,top
J14,Conn_01x02_Female,PinHeader_1x02_P2.00mm_Vertical,170.6676,-97.9578,-90,top
J15,Conn_01x05_Female,PinHeader_1x05_P2.00mm_Vertical,164.62,-83.45,90,top
L1,5.6n,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,126.009,-65.2372,-90,top
L2,6.8n,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,133.7306,-69.7076,0,top
L3,5.6n,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,159.009,-65.2372,-90,top
L4,6.8n,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,166.7306,-69.7076,0,top
L5,5.6n,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,126.009,-98.2372,-90,top
L6,6.8n,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,133.7306,-102.7076,0,top
L7,5.6n,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,159.009,-98.2372,-90,top
L8,6.8n,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,166.7306,-102.7076,0,top
U2,CR1025,CR1025_Holder,113.7154,-55.201138,0,top
U3,CR1025,CR1025_Holder,146.7154,-55.201138,0,top
U4,CR1025,CR1025_Holder,113.7154,-88.201138,0,top
U5,CR1025,CR1025_Holder,146.7154,-88.201138,0,top
