Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"","","",115.000000,-35.000000,0.000000,top
"","","",115.000000,-115.000000,0.000000,top
"","","",170.000000,-115.000000,0.000000,top
"","","",170.000000,-35.000000,0.000000,top
"C24","1p","C_0402_1005Metric",125.523800,-61.046200,180.000000,top
"C25","100p","C_0402_1005Metric",126.009000,-62.570200,-90.000000,top
"C26","1p","C_0402_1005Metric",158.523800,-61.046200,180.000000,top
"C27","120p","C_0402_1005Metric",131.089000,-64.376200,90.000000,top
"C28","100p","C_0402_1005Metric",130.936600,-69.707600,0.000000,top
"C29","470p","C_0402_1005Metric",128.980800,-66.329400,0.000000,top
"C30","100p","C_0402_1005Metric",159.009000,-62.570200,-90.000000,top
"C31","120p","C_0402_1005Metric",164.089000,-64.376200,90.000000,top
"C32","100p","C_0402_1005Metric",163.936600,-69.707600,0.000000,top
"C33","470p","C_0402_1005Metric",161.980800,-66.329400,0.000000,top
"C34","1p","C_0402_1005Metric",125.523800,-94.046200,180.000000,top
"C35","100p","C_0402_1005Metric",126.009000,-95.570200,-90.000000,top
"C36","120p","C_0402_1005Metric",131.089000,-97.376200,90.000000,top
"C37","100p","C_0402_1005Metric",130.936600,-102.707600,0.000000,top
"C38","470p","C_0402_1005Metric",128.980800,-99.329400,0.000000,top
"C39","1p","C_0402_1005Metric",158.523800,-94.046200,180.000000,top
"C40","100p","C_0402_1005Metric",159.009000,-95.570200,-90.000000,top
"C41","120p","C_0402_1005Metric",164.089000,-97.376200,90.000000,top
"C42","100p","C_0402_1005Metric",163.936600,-102.707600,0.000000,top
"C43","470p","C_0402_1005Metric",161.980800,-99.329400,0.000000,top
"FL1","SAFEA1G58KA0F00R15","SAFEA1G58KA0F00R15",131.387800,-66.837400,90.000000,top
"FL2","SAFEA1G58KA0F00R15","SAFEA1G58KA0F00R15",164.387800,-66.837400,90.000000,top
"FL3","SAFEA1G58KA0F00R15","SAFEA1G58KA0F00R15",131.387800,-99.837400,90.000000,top
"FL4","SAFEA1G58KA0F00R15","SAFEA1G58KA0F00R15",164.387800,-99.837400,90.000000,top
"IC4","TESEO-LIV3F","SON110P970X1010X230-18N",134.391000,-57.795000,-90.000000,top
"IC6","MAX2641EUT+T","SOT95P280X145-6N",127.253600,-68.742400,0.000000,top
"IC7","TESEO-LIV3F","SON110P970X1010X230-18N",167.391000,-57.795000,-90.000000,top
"IC9","MAX2641EUT+T","SOT95P280X145-6N",160.253600,-68.742400,0.000000,top
"IC10","TESEO-LIV3F","SON110P970X1010X230-18N",134.391000,-90.795000,-90.000000,top
"IC12","MAX2641EUT+T","SOT95P280X145-6N",127.253600,-101.742400,0.000000,top
"IC13","TESEO-LIV3F","SON110P970X1010X230-18N",167.391000,-90.795000,-90.000000,top
"IC15","MAX2641EUT+T","SOT95P280X145-6N",160.253600,-101.742400,0.000000,top
"J8","Conn_01x02_Female","PinHeader_1x02_P2.00mm_Vertical",137.667600,-64.957800,-90.000000,top
"J9","Conn_01x05_Female","PinHeader_1x05_P2.00mm_Vertical",131.620000,-50.450000,90.000000,top
"J10","Conn_01x02_Female","PinHeader_1x02_P2.00mm_Vertical",170.667600,-64.957800,-90.000000,top
"J11","Conn_01x05_Female","PinHeader_1x05_P2.00mm_Vertical",164.620000,-50.450000,90.000000,top
"J12","Conn_01x02_Female","PinHeader_1x02_P2.00mm_Vertical",137.667600,-97.957800,-90.000000,top
"J13","Conn_01x05_Female","PinHeader_1x05_P2.00mm_Vertical",131.620000,-83.450000,90.000000,top
"J14","Conn_01x02_Female","PinHeader_1x02_P2.00mm_Vertical",170.667600,-97.957800,-90.000000,top
"J15","Conn_01x05_Female","PinHeader_1x05_P2.00mm_Vertical",164.620000,-83.450000,90.000000,top
"L1","5.6n","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",126.009000,-65.237200,-90.000000,top
"L2","6.8n","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",133.730600,-69.707600,0.000000,top
"L3","5.6n","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",159.009000,-65.237200,-90.000000,top
"L4","6.8n","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",166.730600,-69.707600,0.000000,top
"L5","5.6n","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",126.009000,-98.237200,-90.000000,top
"L6","6.8n","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",133.730600,-102.707600,0.000000,top
"L7","5.6n","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",159.009000,-98.237200,-90.000000,top
"L8","6.8n","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",166.730600,-102.707600,0.000000,top
"U2","CR1025","CR1025_Holder",113.715400,-55.201138,0.000000,top
"U3","CR1025","CR1025_Holder",146.715400,-55.201138,0.000000,top
"U4","CR1025","CR1025_Holder",113.715400,-88.201138,0.000000,top
"U5","CR1025","CR1025_Holder",146.715400,-88.201138,0.000000,top
